Ambient_Temperature,Water_Temperature,Humidity,Light_Intensity,Water_pH,Dissolved_Oxygen_mg_L,EC_mS_cm,TDS_ppm,Electrochemical_Signal
22.24024536,21.90043536,55.2919039,556.1728051,5.581954516,3.749080238,0.975357153,519.5981825,0.941402146
21.70676328,18.68089194,63.94918051,596.1367212,7.135704906,4.197316968,0.57800932,346.7983561,0.164899361
21.18094556,15.39293913,67.83795649,591.1246268,5.656852249,3.116167224,0.933088073,480.3345035,1.081728041
22.59330194,22.7783939,58.19081101,241.4124764,5.584522687,4.416145156,0.510292247,590.9729556,1.186087971
28.92900106,18.10093728,63.77203577,444.4938296,5.919706876,4.664885282,0.606169555,354.5474902,1.609805188
24.36420869,22.55155083,46.39281145,496.2330398,6.157930728,3.36680902,0.652121121,457.4269295,0.034301568
23.02289496,17.95034782,56.90621179,454.6392144,7.075570016,3.863890037,0.64561457,483.5558684,1.272920689
20.19918572,16.29822055,56.32621696,455.6989746,6.105038904,5.209240791,1.146072324,673.2723687,1.67554481
25.46764547,16.69303635,47.54417466,635.0570337,6.487871877,3.912139968,0.892587981,359.9021346,1.391797621
27.63668533,23.62016942,65.61576854,393.2477805,5.580117097,4.028468877,0.796207284,313.9351238,0.962508633
25.9306236,22.67841216,56.82434202,482.2509998,5.664245676,5.911317278,1.085262062,613.0103186,1.522696311
23.99464808,16.14286275,58.53132773,763.5381969,6.278609362,7.923328306,2.465632033,1123.358939,1.877492875
19.00049156,22.38428696,57.75413529,436.3746794,7.323472975,5.456920654,1.048836057,736.8466053,1.959886633
19.73966999,19.52594533,47.50846028,724.1481607,6.738494159,5.660228741,1.061019117,699.035382,1.731128951
26.49079136,17.82397397,45.87979905,561.1187449,5.832179314,5.051582782,1.454660201,651.7559963,1.987300197
27.29581421,19.7517873,52.06643945,515.1991468,5.939420931,5.993783427,1.155855538,704.0136042,0.656406233
19.26392676,23.89279652,45.21420852,800.7266096,6.065295849,5.820065419,1.092427228,793.9169256,1.293190933
23.63405835,22.75771916,40.83784537,423.1442155,6.151761405,4.550265647,0.969749471,568.4482051,1.542696616
29.39285652,19.18860894,61.67028339,203.4998926,6.001141621,5.896849968,1.460937118,617.6985004,0.221543895
22.37344683,15.55854894,40.67374638,395.188528,6.019840604,5.293974294,1.022613644,665.0660662,1.072450352
28.41618165,23.66326125,63.69918699,735.6818314,6.149846669,7.083015935,1.771349032,1131.495004,1.313238995
20.53086817,24.56634697,47.25582511,472.7790052,6.242700171,7.03512999,1.78093451,1017.078433,0.746642685
29.19280263,16.43910654,62.82887406,427.2720751,6.452995855,6.711386337,2.302196981,829.8202575,1.988519146
24.28970893,19.75106149,50.56190134,319.4868231,6.961696148,7.980330405,2.272244769,879.4862726,0.593445255
25.55026655,15.07453776,63.67890896,867.7026545,5.946760308,6.508283176,2.315461428,1082.742938,0.756583252
24.80921095,23.91903418,42.01890239,923.2339881,6.602158333,6.093510752,1.385635173,614.8089303,1.55546127
26.28278385,24.91343666,40.25984234,677.0739746,6.195533414,3.716931457,0.55793453,558.9310278,0.220836811
19.02963705,22.22552692,44.46872632,339.8834703,5.7889043,7.43494719,1.830898025,825.4233401,1.54817442
25.18298598,17.59153183,63.92669146,524.9309827,5.983217688,3.621964643,0.662591661,518.8818535,0.696671298
21.95147498,19.24578447,42.4098101,508.2548632,6.242033717,4.275114943,0.943606371,441.6644775,1.979704908
18.89191428,19.23407408,59.99003418,867.1298682,5.919435843,3.239188492,0.856622394,528.2355146,1.348596587
21.65353181,17.26562977,69.6872626,607.1387549,6.77622619,7.341915796,2.27096718,997.5182385,0.090813357
18.28127088,24.99592885,53.7859033,227.5729366,6.159844269,7.284099244,1.927541018,810.1676507,0.780232309
22.06444669,15.79976628,51.53682011,302.876879,6.98295139,3.215782854,0.515714593,490.9231234,0.917520111
22.24091207,17.14011202,50.49709371,297.6229175,6.889754289,6.971533972,2.008570691,1163.02659,0.872726908
27.42301475,22.4736906,66.14889901,577.371603,6.754105521,5.373938344,1.205191462,751.1102277,0.083466105
29.58560023,17.30906341,66.98353089,222.8253017,7.307640824,3.457596331,0.538489955,386.9254359,0.905473484
21.5326582,16.23660207,43.60973784,560.0587425,7.378693845,3.322442575,0.964848826,542.4361139,1.563996156
24.78499674,20.44359866,50.62575539,735.8495565,5.788171347,4.266807513,0.935730295,541.1016231,0.896671805
22.86232524,21.82806809,67.05026738,576.3646455,6.457467303,3.373140118,0.946279499,461.8026726,1.105516748
18.08769869,18.61669586,44.80825006,547.1358616,5.945849245,4.61488031,0.94804565,395.4010425,1.903475182
29.9908861,20.69802999,68.13763608,711.3437998,7.301299207,6.665077887,1.727935163,970.8431155,0.478127445
